dataset,stage,column,dtype,row_count,missing_count,missing_pct,blank_or_null_string_count,non_missing_count,unique_non_missing_count,example_non_missing_values
maintenance,raw,full_model,object,245640,0,0.0,0,245640,5,D71PXI-24 | D71PXI-24 | D71PXI-24
maintenance,raw,machine_id,object,245640,0,0.0,0,245640,2562,D71PXI-24 70023 | D71PXI-24 70023 | D71PXI-24 70023
maintenance,raw,SERIAL,int64,245640,0,0.0,0,245640,2562,70023 | 70023 | 70023
maintenance,raw,EVENT_NAME_ID,int64,245640,0,0.0,0,245640,24,6808918 | 6808904 | 6808880
maintenance,raw,EVENT_NAME_EN,object,245640,0,0.0,0,245640,24,"AdBlue® ,DEF Filter Change | Hst Filter Element | Fuel Filter"
maintenance,raw,event_time,object,245640,0,0.0,0,245640,79443,2020-12-02T13:09:32Z | 2020-12-02T13:09:32Z | 2020-12-02T13:09:32Z
maintenance,raw,event_date,object,245640,0,0.0,0,245640,1751,2020-12-02 | 2020-12-02 | 2020-12-02
maintenance,raw,previous_reset_time,object,245640,45462,18.5076,0,200178,49466,2021-04-28T02:02:56Z | 2021-04-28T02:09:15Z | 2021-04-28T05:08:00Z
maintenance,raw,SMR_SECONDS,int64,245640,0,0.0,0,245640,46663,15960 | 15960 | 15960
maintenance,raw,smr_hours,float64,245640,0,0.0,0,245640,46663,4.433333 | 4.433333 | 4.433333
maintenance,raw,PREVIOUS_RESET_SMR_SECONDS,float64,245640,45462,18.5076,0,200178,30972,2862120.0 | 2862120.0 | 1843260.0
maintenance,raw,previous_reset_smr_hours,float64,245640,45462,18.5076,0,200178,30972,795.033333 | 795.033333 | 512.016667
maintenance,raw,PREVIOUS_RESET_REMAINING_HOURS,float64,245640,45462,18.5076,0,200178,25,30000.0 | 30000.0 | 30000.0
maintenance,raw,REMAINING_MINUTES,int64,245640,0,0.0,0,245640,3684,119760 | 119760 | 59760
maintenance,raw,remaining_hours,float64,245640,0,0.0,0,245640,3684,1996.0 | 1996.0 | 996.0
maintenance,raw,INTERVAL_HOURS,int64,245640,0,0.0,0,245640,23,2000 | 2000 | 1000
maintenance,raw,THRESHOLD_HOURS,int64,245640,0,0.0,0,245640,8,30 | 30 | 30
maintenance,raw,interval_type,object,245640,0,0.0,0,245640,1,Scheduled Interval | Scheduled Interval | Scheduled Interval
maintenance,raw,is_monitor_reset,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,raw,is_overdue,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,raw,is_due_now,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,raw,is_notice_or_status,bool,245640,0,0.0,0,245640,2,True | True | True
maintenance,raw,AVAILABLE,bool,245640,0,0.0,0,245640,2,True | True | True
